Federal_District,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Northwestern,Pskov,2022-09-01,13.62,,4.74,23.68,18.5,6.97,1.25,5.91,55.26,0.95,3.28,1.18,54.0,Moderate,4.1,68.1,0.499,2.29,81.67,7.9
Northwestern,Pskov,2022-10-01,29.43,57.58,18.48,29.84,,,0.83,12.36,67.99,2.54,2.92,0.8,87.0,Moderate,12.6,83.0,0.387,2.68,82.06,7.9
Northwestern,Pskov,2022-11-01,26.69,40.42,24.08,41.3,26.63,9.07,1.16,12.78,37.93,2.26,5.59,1.35,82.0,Moderate,13.2,78.9,0.571,1.14,82.54,8.0
Northwestern,Pskov,2022-12-01,26.02,55.95,37.04,25.39,35.09,9.42,1.64,7.07,72.9,2.75,5.75,,80.0,Moderate,11.4,92.5,0.395,2.74,81.18,8.0
Northwestern,Pskov,2023-01-01,20.38,33.63,18.77,35.0,31.1,11.2,1.45,16.76,73.3,0.79,11.36,2.44,68.0,Moderate,3.0,83.4,0.572,1.93,85.55,7.9
Northwestern,Pskov,2023-02-01,33.06,39.47,30.28,58.49,38.5,12.48,1.16,6.84,47.82,2.22,8.11,0.86,95.0,Moderate,7.1,73.0,0.481,2.1,86.27,7.9
Northwestern,Pskov,2023-03-01,34.18,42.91,,22.93,30.92,7.31,0.48,9.2,40.86,2.58,5.39,1.19,97.0,Moderate,6.3,76.5,0.561,0.36,84.28,7.9
Northwestern,Pskov,2023-04-01,16.19,26.86,10.27,20.39,40.22,2.47,,4.05,40.12,0.69,1.52,1.33,60.0,Moderate,10.7,54.4,0.575,-1.0,81.9,7.9
Northwestern,Pskov,2023-05-01,9.04,29.69,6.01,20.24,30.37,5.2,0.68,9.1,39.38,0.78,,0.67,38.0,Good,14.1,64.7,0.542,2.62,81.13,7.9
Northwestern,Pskov,2023-06-01,19.49,22.8,11.54,27.01,29.67,6.79,1.12,9.0,42.94,1.26,2.96,0.17,67.0,Moderate,13.8,72.1,0.54,4.36,84.27,8.0
Northwestern,Pskov,2023-07-01,9.61,12.1,14.88,20.44,36.17,5.3,0.35,11.0,41.09,0.94,3.93,0.19,40.0,Good,6.0,69.1,0.397,2.28,81.01,7.9
Northwestern,Pskov,2023-08-01,8.36,16.25,9.12,17.35,26.8,4.04,0.49,8.71,52.84,0.68,,0.57,35.0,Good,4.7,71.7,0.574,2.0,81.81,7.9
Northwestern,Pskov,2023-09-01,12.41,41.93,18.23,13.2,24.94,2.5,0.87,10.46,39.17,2.07,4.35,1.4,52.0,Moderate,9.6,75.5,0.513,2.24,84.77,7.9
Northwestern,Pskov,2023-10-01,11.73,19.57,12.31,38.77,34.61,8.3,1.22,17.07,52.58,2.0,4.99,1.32,49.0,Good,12.9,88.4,0.556,3.9,83.14,7.9
Northwestern,Pskov,2023-11-01,37.51,23.6,9.18,18.68,26.73,7.8,1.24,3.23,66.41,3.05,2.51,1.49,106.0,Unhealthy for Sensitive Groups,10.1,84.6,0.378,2.97,86.0,7.9
Northwestern,Pskov,2023-12-01,16.9,39.11,13.29,36.32,27.47,4.26,1.01,19.46,100.45,,5.24,,61.0,Moderate,8.7,86.7,0.502,3.38,85.69,7.9
Northwestern,Pskov,2024-01-01,30.8,78.24,36.73,52.47,71.0,5.85,2.06,16.83,115.33,1.27,2.68,2.5,90.0,Moderate,7.1,75.1,0.47,2.23,83.05,7.9
Northwestern,Pskov,2024-02-01,32.8,38.68,26.6,38.64,34.09,9.65,0.96,15.07,87.29,2.56,2.84,0.26,95.0,Moderate,13.0,82.8,0.487,-0.74,82.82,7.9
Northwestern,Pskov,2024-03-01,20.0,36.87,21.25,30.77,48.94,9.44,0.67,15.7,43.25,,3.2,0.82,68.0,Moderate,13.6,73.9,0.522,3.34,82.31,7.9
Northwestern,Pskov,2024-04-01,16.0,40.88,13.25,33.35,40.23,8.17,0.58,10.4,54.62,1.49,2.86,0.15,59.0,Moderate,14.4,62.7,0.536,1.16,83.1,7.9
Northwestern,Pskov,2024-05-01,5.53,20.34,18.04,14.18,31.08,2.49,0.66,4.27,38.64,0.69,2.01,0.77,23.0,Good,7.4,49.8,0.521,0.83,85.2,7.9
Northwestern,Pskov,2024-06-01,15.72,42.03,16.8,11.76,16.67,7.6,0.38,11.01,53.66,1.22,2.08,1.56,59.0,Moderate,8.7,64.3,0.613,2.6,84.26,7.9
Northwestern,Pskov,2024-07-01,13.59,22.84,,27.32,35.12,8.39,0.84,7.89,46.53,0.69,6.2,0.58,54.0,Moderate,10.5,70.2,0.502,-0.47,83.18,7.9
Northwestern,Pskov,2024-08-01,15.86,21.02,16.3,21.34,24.86,,0.58,10.14,50.03,1.22,3.95,1.17,59.0,Moderate,4.3,78.7,0.301,-0.18,81.02,7.9
Northwestern,Pskov,2024-09-01,10.01,30.53,11.9,11.91,22.22,4.68,0.88,7.15,52.34,0.53,3.5,0.68,42.0,Good,8.1,76.7,0.501,1.39,82.55,7.9
Northwestern,Pskov,2024-10-01,18.77,42.62,11.17,20.6,21.27,10.06,1.23,9.88,64.16,2.07,2.35,0.95,65.0,Moderate,13.7,81.7,0.362,2.63,81.98,7.9
Northwestern,Pskov,2024-11-01,12.46,37.19,8.18,27.11,64.46,1.22,1.19,11.15,78.77,1.65,8.32,2.1,52.0,Moderate,4.5,86.5,0.629,3.82,85.08,7.9
Northwestern,Pskov,2024-12-01,42.81,55.05,28.77,49.43,20.45,4.06,0.67,13.13,86.76,2.43,8.77,1.13,119.0,Unhealthy for Sensitive Groups,6.8,81.0,0.402,1.11,86.11,7.9
Northwestern,Pskov,2025-01-01,39.63,81.73,28.55,37.6,39.45,12.09,1.67,16.22,65.33,1.86,2.47,2.33,111.0,Unhealthy for Sensitive Groups,7.2,77.0,0.668,0.09,85.65,7.9
Northwestern,Pskov,2025-02-01,37.73,74.94,31.67,48.25,51.92,4.01,1.56,13.48,41.03,1.07,,1.26,106.0,Unhealthy for Sensitive Groups,13.4,77.2,0.636,1.88,86.98,7.9
Northwestern,Pskov,2025-03-01,30.23,28.26,21.75,42.01,11.28,4.34,1.69,7.0,61.84,1.55,4.06,1.2,89.0,Moderate,11.8,68.1,0.467,3.33,85.93,7.9
Northwestern,Pskov,2025-04-01,10.11,35.21,16.83,23.19,24.09,6.45,0.46,10.49,54.06,1.98,4.86,0.35,42.0,Good,12.9,67.4,0.415,3.54,82.33,7.9
Northwestern,Pskov,2025-05-01,13.89,29.0,13.74,24.24,26.13,1.95,1.04,7.64,22.09,0.71,0.71,0.91,55.0,Moderate,5.1,55.2,0.508,1.94,84.06,7.9
Northwestern,Pskov,2025-06-01,21.18,27.33,7.94,25.98,22.98,6.76,0.61,4.52,28.97,0.61,4.99,0.25,70.0,Moderate,7.4,60.3,0.512,-0.06,85.33,7.9
Northwestern,Pskov,2025-07-01,20.31,21.88,9.69,20.75,42.07,3.16,0.63,6.6,51.75,1.43,1.07,0.14,68.0,Moderate,3.5,67.1,0.478,-0.61,83.68,7.9
Northwestern,Pskov,2025-08-01,10.2,22.56,16.15,15.03,23.05,4.62,,9.98,45.23,0.7,3.39,,42.0,Good,10.0,71.1,0.395,1.63,84.5,7.9
Northwestern,Pskov,2025-09-01,15.38,19.75,11.57,15.55,32.56,5.54,0.66,10.1,62.99,0.69,5.0,0.78,58.0,Moderate,13.7,83.2,0.58,2.68,85.19,7.9
Northwestern,Pskov,2025-10-01,31.02,26.01,12.63,37.08,36.45,10.2,1.41,11.55,73.42,1.94,6.11,1.2,91.0,Moderate,7.7,78.3,0.56,0.04,85.85,7.9
Northwestern,Pskov,2025-11-01,38.25,58.75,13.88,37.18,27.85,9.37,1.73,8.19,35.23,2.79,7.17,2.43,108.0,Unhealthy for Sensitive Groups,8.5,86.5,0.508,1.14,84.62,7.9
Northwestern,Pskov,2025-12-01,29.36,78.17,27.12,44.36,65.58,,1.47,15.6,50.84,3.27,7.18,2.35,87.0,Moderate,7.9,89.1,0.603,1.92,84.48,7.9
Northwestern,Saint Petersburg,2014-01-01,45.22,46.72,64.73,41.51,92.43,16.05,2.21,,95.21,7.3,11.05,,125.0,Unhealthy for Sensitive Groups,4.1,76.9,0.484,4.42,80.87,8.0
Northwestern,Saint Petersburg,2014-02-01,45.19,102.84,25.55,53.11,80.0,8.89,2.43,26.61,48.12,,17.51,,125.0,Unhealthy for Sensitive Groups,11.4,72.5,0.481,1.96,84.83,8.0
Northwestern,Saint Petersburg,2014-03-01,29.12,78.9,41.52,65.77,46.71,9.93,1.87,23.55,38.01,2.63,13.75,2.04,87.0,Moderate,10.4,72.6,0.768,1.77,80.08,8.0
Northwestern,Saint Petersburg,2014-04-01,24.91,25.3,42.59,40.33,58.1,9.55,0.76,20.69,59.06,0.87,10.27,0.8,78.0,Moderate,9.4,60.6,0.379,-0.14,81.47,8.0
Northwestern,Saint Petersburg,2014-05-01,17.79,68.2,26.94,42.44,23.56,8.82,1.59,17.92,37.61,2.53,6.21,2.2,63.0,Moderate,11.2,57.0,0.45,1.12,78.37,8.0
Northwestern,Saint Petersburg,2014-06-01,36.15,23.59,29.35,23.98,56.99,11.3,1.58,21.6,42.75,3.56,2.43,1.93,103.0,Unhealthy for Sensitive Groups,13.5,61.4,0.598,3.78,77.54,8.0
Northwestern,Saint Petersburg,2014-07-01,24.99,,22.35,32.27,45.53,8.1,1.66,18.4,25.83,1.81,4.31,2.34,78.0,Moderate,2.0,81.8,0.519,2.77,79.32,8.0
Northwestern,Saint Petersburg,2014-08-01,31.6,61.28,26.66,45.05,49.67,10.65,0.98,17.14,,3.54,9.77,0.71,92.0,Moderate,9.2,78.7,0.547,2.95,83.57,8.0
Northwestern,Saint Petersburg,2014-09-01,31.09,39.72,16.79,,55.92,6.36,1.1,13.31,38.36,2.29,5.73,3.31,91.0,Moderate,7.3,71.5,0.596,3.64,78.77,8.0
Northwestern,Saint Petersburg,2014-10-01,52.69,49.39,17.41,58.22,33.9,5.78,1.14,23.05,46.14,4.16,4.07,0.97,143.0,Unhealthy for Sensitive Groups,8.1,82.8,0.484,-1.35,80.77,8.0
Northwestern,Saint Petersburg,2014-11-01,43.61,52.82,26.49,39.51,100.57,9.9,1.3,20.03,44.55,6.68,19.96,5.68,121.0,Unhealthy for Sensitive Groups,11.2,94.1,0.35,0.13,80.31,8.0
Northwestern,Saint Petersburg,2014-12-01,28.11,85.71,26.86,54.45,58.01,9.94,2.36,31.46,102.76,4.15,14.19,3.98,85.0,Moderate,7.6,91.5,0.45,2.08,79.03,8.0
Northwestern,Saint Petersburg,2015-01-01,39.08,69.73,53.83,51.9,55.7,9.93,2.62,31.59,,6.43,20.28,4.72,110.0,Unhealthy for Sensitive Groups,4.4,87.9,0.557,0.84,80.67,8.0
Northwestern,Saint Petersburg,2015-02-01,56.06,97.95,49.67,70.24,82.56,11.38,2.7,37.59,52.12,5.11,6.76,1.03,151.0,Unhealthy,5.5,84.8,0.435,4.04,83.35,8.0
Northwestern,Saint Petersburg,2015-03-01,46.59,90.72,36.87,41.83,86.05,7.73,2.55,21.5,61.47,3.81,7.94,4.04,128.0,Unhealthy for Sensitive Groups,8.3,71.0,0.634,2.3,79.96,8.0
Northwestern,Saint Petersburg,2015-04-01,32.36,52.13,13.85,34.75,51.98,8.84,0.78,15.84,39.41,1.12,10.43,1.18,94.0,Moderate,17.2,58.0,0.346,1.91,77.59,8.0
Northwestern,Saint Petersburg,2015-05-01,,25.36,17.71,39.83,70.76,7.5,1.24,14.98,34.65,1.13,6.25,0.7,,,16.6,51.9,0.437,1.09,81.53,8.0
Northwestern,Saint Petersburg,2015-06-01,,37.18,17.5,43.23,65.5,9.2,1.31,7.56,38.29,2.77,10.81,2.09,,,8.2,60.4,0.471,3.67,79.18,8.0
Northwestern,Saint Petersburg,2015-07-01,13.82,50.95,28.16,40.59,41.52,7.27,0.97,22.28,46.84,2.16,5.7,1.03,55.0,Moderate,7.4,61.1,0.392,2.39,78.87,8.0
Northwestern,Saint Petersburg,2015-08-01,21.89,38.83,25.62,23.85,30.88,6.23,1.0,13.35,20.18,,4.47,1.92,72.0,Moderate,2.1,80.7,0.412,1.26,81.29,8.0
Northwestern,Saint Petersburg,2015-09-01,21.36,70.82,23.37,53.24,55.67,4.38,1.93,22.98,41.67,4.45,3.72,1.88,70.0,Moderate,6.5,75.7,0.424,1.55,78.56,8.0
Northwestern,Saint Petersburg,2015-10-01,34.27,76.99,30.36,61.62,34.67,8.03,1.56,12.82,46.75,3.56,5.04,1.11,98.0,Moderate,6.5,77.3,0.551,3.45,77.4,8.0
Northwestern,Saint Petersburg,2015-11-01,53.7,53.97,30.38,58.55,105.71,10.8,3.33,29.29,89.16,4.94,6.85,3.54,146.0,Unhealthy for Sensitive Groups,14.5,80.0,0.643,4.53,80.82,8.0
Northwestern,Saint Petersburg,2015-12-01,60.49,41.74,23.25,77.93,56.77,10.73,2.88,42.56,79.83,5.27,18.69,5.4,154.0,Unhealthy,10.7,95.5,0.731,0.87,79.2,8.0
Northwestern,Saint Petersburg,2016-01-01,42.29,59.98,36.65,92.86,66.03,17.49,4.06,49.2,93.92,7.22,19.52,6.56,118.0,Unhealthy for Sensitive Groups,10.2,81.1,0.594,0.28,80.7,8.0
Northwestern,Saint Petersburg,2016-02-01,26.01,64.61,50.97,75.9,65.46,20.37,2.31,20.27,103.27,1.8,5.67,5.36,80.0,Moderate,13.3,84.2,0.584,3.74,79.69,8.0
Northwestern,Saint Petersburg,2016-03-01,24.3,39.78,29.4,39.12,74.02,14.02,0.94,16.68,67.16,5.32,13.27,2.6,77.0,Moderate,8.4,65.5,0.573,0.17,80.47,8.0
Northwestern,Saint Petersburg,2016-04-01,20.42,56.11,,42.09,23.0,11.75,2.19,20.54,40.57,2.83,8.17,2.63,69.0,Moderate,10.5,65.1,0.513,1.41,80.56,8.0
Northwestern,Saint Petersburg,2016-05-01,28.22,35.35,17.17,34.41,72.1,5.75,1.39,12.99,36.1,3.9,5.29,0.86,85.0,Moderate,12.1,51.9,0.397,2.39,81.36,8.0
Northwestern,Saint Petersburg,2016-06-01,26.05,48.59,29.28,27.34,46.39,2.78,1.55,16.44,31.59,1.89,7.64,0.36,80.0,Moderate,8.5,62.8,0.562,4.17,79.16,8.0
Northwestern,Saint Petersburg,2016-07-01,28.85,29.06,26.12,27.38,30.29,9.5,1.34,16.24,19.95,3.61,10.61,1.36,86.0,Moderate,11.9,60.7,0.648,3.63,79.41,8.0
Northwestern,Saint Petersburg,2016-08-01,30.29,47.65,,24.57,51.4,8.49,1.04,17.51,20.73,3.39,5.96,1.06,89.0,Moderate,5.9,73.0,0.53,0.05,80.42,8.0
Northwestern,Saint Petersburg,2016-09-01,36.35,36.83,19.17,33.15,,6.45,0.75,16.84,24.14,3.15,9.71,0.89,103.0,Unhealthy for Sensitive Groups,5.3,78.3,0.38,0.37,81.23,8.0
Northwestern,Saint Petersburg,2016-10-01,46.98,50.88,19.67,41.91,61.15,6.46,2.6,14.43,,4.95,7.41,1.32,129.0,Unhealthy for Sensitive Groups,16.2,90.9,0.557,5.18,80.02,8.0
Northwestern,Saint Petersburg,2016-11-01,37.4,50.57,30.02,59.48,95.12,7.29,2.74,24.29,75.34,5.72,13.25,2.88,106.0,Unhealthy for Sensitive Groups,15.2,94.9,0.502,-1.16,80.26,8.0
Northwestern,Saint Petersburg,2016-12-01,51.62,82.49,44.19,74.55,105.26,7.58,1.82,26.17,,6.71,6.58,1.63,141.0,Unhealthy for Sensitive Groups,4.7,85.8,0.422,2.64,78.79,8.0
Northwestern,Saint Petersburg,2017-01-01,27.99,85.57,41.56,84.73,119.05,13.99,1.03,17.63,88.49,3.1,12.92,2.52,84.0,Moderate,7.6,88.3,0.638,2.87,83.87,8.0
Northwestern,Saint Petersburg,2017-02-01,28.87,86.47,53.79,74.18,58.28,16.59,2.26,27.14,42.14,6.38,15.69,1.79,86.0,Moderate,9.7,73.3,0.449,2.76,80.12,8.0
Northwestern,Saint Petersburg,2017-03-01,15.79,57.52,27.49,39.65,36.82,4.68,,26.8,54.27,5.07,7.5,3.25,59.0,Moderate,12.5,82.1,0.576,-1.59,81.08,7.9
Northwestern,Saint Petersburg,2017-04-01,29.25,36.41,19.12,39.11,70.38,5.54,1.92,23.42,53.38,1.88,4.54,3.01,87.0,Moderate,5.9,59.3,0.534,2.47,80.5,8.0
Northwestern,Saint Petersburg,2017-05-01,37.53,50.45,16.07,47.6,37.94,5.84,1.74,15.47,44.16,2.34,12.22,1.63,106.0,Unhealthy for Sensitive Groups,11.0,57.9,0.56,-0.08,81.98,8.0
Northwestern,Saint Petersburg,2017-06-01,15.31,63.16,23.73,19.98,,4.81,1.61,15.53,29.18,1.84,3.79,,58.0,Moderate,12.7,62.4,0.541,3.03,82.18,8.0
Northwestern,Saint Petersburg,2017-07-01,32.44,31.4,8.77,27.99,20.81,7.77,1.48,6.03,41.11,2.87,9.49,1.94,94.0,Moderate,6.5,63.5,0.338,1.64,83.11,8.0
Northwestern,Saint Petersburg,2017-08-01,25.98,41.15,16.37,39.07,60.97,10.33,1.35,9.66,19.72,1.8,10.56,1.36,80.0,Moderate,9.0,70.9,0.471,2.49,82.62,8.0
Northwestern,Saint Petersburg,2017-09-01,32.88,45.44,,46.4,35.23,9.6,0.87,15.45,41.38,3.54,4.78,0.35,95.0,Moderate,11.7,82.7,0.392,1.9,78.33,8.0
Northwestern,Saint Petersburg,2017-10-01,36.89,32.95,32.8,44.64,44.54,14.42,1.88,13.46,,3.64,15.57,3.93,104.0,Unhealthy for Sensitive Groups,12.3,87.3,0.565,4.63,80.74,8.0
Northwestern,Saint Petersburg,2017-11-01,24.95,59.84,49.61,30.9,94.16,12.05,2.08,,54.82,3.72,14.61,4.17,78.0,Moderate,6.3,86.9,0.374,2.33,81.91,8.0
Northwestern,Saint Petersburg,2017-12-01,62.19,106.9,68.82,55.18,114.38,15.28,2.29,31.99,45.54,1.76,10.52,4.22,154.0,Unhealthy,10.6,89.1,0.372,0.51,80.5,8.0
Northwestern,Saint Petersburg,2018-01-01,63.4,125.12,38.13,75.02,138.46,12.17,3.44,38.14,55.48,4.76,9.2,1.43,155.0,Unhealthy,7.7,89.2,0.463,1.32,82.64,8.0
Northwestern,Saint Petersburg,2018-02-01,37.24,63.47,,57.73,100.2,9.01,1.7,16.74,44.92,1.95,17.52,4.42,105.0,Unhealthy for Sensitive Groups,7.7,78.8,0.602,0.96,82.79,8.0
Northwestern,Saint Petersburg,2018-03-01,50.13,81.21,34.39,64.19,84.07,16.71,1.31,36.01,,2.82,13.79,2.58,137.0,Unhealthy for Sensitive Groups,14.0,75.3,0.472,-1.31,80.42,8.0
Northwestern,Saint Petersburg,2018-04-01,21.03,26.43,18.03,44.22,40.92,10.32,0.72,21.31,47.87,2.35,8.79,1.09,70.0,Moderate,17.3,58.6,0.707,2.46,83.21,8.0
Northwestern,Saint Petersburg,2018-05-01,30.54,35.36,18.37,48.97,21.11,10.47,2.02,11.25,56.14,2.26,2.42,2.01,90.0,Moderate,16.9,50.5,0.466,0.57,80.53,8.0
Northwestern,Saint Petersburg,2018-06-01,16.07,,29.73,25.56,27.12,7.41,1.31,17.45,48.42,2.48,7.79,1.0,59.0,Moderate,10.7,57.9,0.405,4.18,82.32,8.0
Northwestern,Saint Petersburg,2018-07-01,13.97,25.87,15.22,,18.75,7.63,0.99,19.97,22.18,3.11,9.54,0.65,55.0,Moderate,6.6,60.2,0.45,2.38,79.91,7.9
Northwestern,Saint Petersburg,2018-08-01,27.19,33.34,23.24,25.02,47.75,11.94,1.63,15.7,42.79,2.01,10.72,2.01,83.0,Moderate,6.1,67.9,0.514,1.03,82.14,8.0
Northwestern,Saint Petersburg,2018-09-01,38.46,34.21,19.49,49.89,,5.39,1.13,27.85,60.77,4.58,8.46,2.06,108.0,Unhealthy for Sensitive Groups,7.9,69.6,0.475,1.71,80.89,7.9
Northwestern,Saint Petersburg,2018-10-01,33.82,85.41,35.28,48.69,74.45,16.28,1.98,30.88,35.27,3.3,5.41,4.63,97.0,Moderate,6.4,74.9,0.591,0.64,79.88,8.0
Northwestern,Saint Petersburg,2018-11-01,40.26,53.84,30.08,39.15,36.11,19.21,,29.88,,2.38,4.43,1.81,113.0,Unhealthy for Sensitive Groups,7.8,90.4,0.536,5.22,79.55,8.0
Northwestern,Saint Petersburg,2018-12-01,31.37,55.07,49.97,70.39,100.65,,2.32,35.22,38.11,4.75,11.21,2.78,92.0,Moderate,9.6,85.6,0.693,0.12,79.57,8.0
Northwestern,Saint Petersburg,2019-01-01,45.53,126.61,69.77,54.04,61.68,14.2,1.52,39.73,84.37,6.26,14.15,3.74,126.0,Unhealthy for Sensitive Groups,5.7,84.3,0.493,1.72,84.83,8.0
Northwestern,Saint Petersburg,2019-02-01,36.48,97.0,57.02,38.66,45.6,15.5,1.77,24.7,82.6,5.37,19.22,5.11,103.0,Unhealthy for Sensitive Groups,11.6,76.5,0.496,4.13,79.81,7.9
Northwestern,Saint Petersburg,2019-03-01,31.28,68.11,15.21,62.28,49.11,4.69,1.45,17.89,34.56,4.65,6.6,4.07,91.0,Moderate,11.8,68.3,0.626,-0.8,85.36,8.0
Northwestern,Saint Petersburg,2019-04-01,24.48,35.38,16.21,38.75,50.92,11.45,1.6,18.55,68.57,3.91,4.68,0.6,77.0,Moderate,16.0,57.6,0.504,3.87,80.22,8.0
Northwestern,Saint Petersburg,2019-05-01,29.69,48.64,33.03,40.0,30.95,11.58,1.42,14.8,33.72,2.97,7.94,2.15,88.0,Moderate,11.5,51.6,0.542,-0.42,83.8,7.9
Northwestern,Saint Petersburg,2019-06-01,15.43,30.64,19.87,31.71,,7.04,0.72,15.81,36.62,3.09,,2.26,58.0,Moderate,13.7,65.8,0.571,1.27,82.59,8.0
Northwestern,Saint Petersburg,2019-07-01,,22.4,32.26,32.46,32.9,7.48,0.69,23.9,52.42,2.1,3.62,0.49,,,9.1,72.4,0.531,2.4,81.82,8.0
Northwestern,Saint Petersburg,2019-08-01,32.98,60.05,19.57,22.91,61.24,2.11,0.68,21.09,44.45,2.24,9.12,1.49,95.0,Moderate,9.8,76.1,0.322,1.16,82.16,8.0
Northwestern,Saint Petersburg,2019-09-01,25.26,24.97,34.95,49.22,36.59,4.67,1.66,15.58,29.98,3.68,7.45,1.69,79.0,Moderate,4.9,76.1,0.663,4.05,82.76,8.0
Northwestern,Saint Petersburg,2019-10-01,26.23,74.1,45.73,62.41,57.12,,2.47,13.76,,2.77,9.41,1.75,81.0,Moderate,10.7,92.2,0.538,1.4,81.51,8.0
Northwestern,Saint Petersburg,2019-11-01,49.16,51.33,44.74,55.64,78.04,7.82,2.64,32.88,70.86,4.81,11.99,2.46,135.0,Unhealthy for Sensitive Groups,7.2,91.5,0.404,2.19,82.57,8.0
Northwestern,Saint Petersburg,2019-12-01,32.03,93.16,57.68,48.8,110.71,8.95,3.04,17.46,34.28,1.67,15.96,3.23,93.0,Moderate,4.8,86.0,0.609,2.21,82.66,7.9
Northwestern,Saint Petersburg,2020-01-01,52.89,97.46,55.22,90.68,105.35,24.56,3.55,39.71,54.89,7.1,5.97,1.58,144.0,Unhealthy for Sensitive Groups,6.3,86.0,0.329,0.36,81.15,8.0
Northwestern,Saint Petersburg,2020-02-01,33.41,87.69,46.54,,64.3,20.28,2.27,25.7,44.01,,17.44,3.28,96.0,Moderate,9.7,69.9,0.583,2.77,81.59,8.0
Northwestern,Saint Petersburg,2020-03-01,19.77,64.86,28.4,,74.68,11.57,1.37,28.6,76.93,2.64,7.42,3.29,67.0,Moderate,8.8,70.6,0.634,1.03,80.13,7.9
Northwestern,Saint Petersburg,2020-04-01,10.54,23.43,9.29,20.53,44.81,3.5,0.93,13.91,32.32,2.53,4.7,1.0,44.0,Good,7.2,64.5,0.669,0.47,84.4,7.9
Northwestern,Saint Petersburg,2020-05-01,18.17,36.05,11.94,27.24,27.67,7.97,1.25,13.79,21.52,0.85,8.51,0.55,64.0,Moderate,10.3,61.9,0.366,1.51,82.65,7.9
Northwestern,Saint Petersburg,2020-06-01,19.05,,13.24,14.78,48.26,3.98,1.28,9.98,29.16,1.8,7.45,0.54,66.0,Moderate,6.8,61.7,0.568,3.0,81.42,7.9
Northwestern,Saint Petersburg,2020-07-01,26.21,40.8,22.11,28.23,46.74,9.55,1.89,14.11,58.01,3.59,6.51,1.22,81.0,Moderate,6.0,78.2,0.532,3.19,79.16,7.9
Northwestern,Saint Petersburg,2020-08-01,,43.03,29.01,45.96,59.26,7.73,1.93,12.77,52.72,1.47,12.06,1.42,,,5.0,70.5,0.572,1.38,82.1,8.0
Northwestern,Saint Petersburg,2020-09-01,37.69,50.08,32.0,43.19,33.46,9.64,2.05,12.26,46.02,3.14,8.56,1.86,106.0,Unhealthy for Sensitive Groups,6.6,80.5,0.368,1.58,83.67,7.9
Northwestern,Saint Petersburg,2020-10-01,30.93,82.47,21.42,41.93,54.01,3.98,1.08,30.35,56.19,2.58,14.33,2.76,91.0,Moderate,12.8,88.4,0.363,3.88,80.8,8.0
Northwestern,Saint Petersburg,2020-11-01,29.95,71.44,20.56,70.46,45.97,6.47,2.39,31.59,41.03,1.73,16.37,2.03,89.0,Moderate,11.8,85.7,0.624,-0.16,82.48,8.0
Northwestern,Saint Petersburg,2020-12-01,68.9,83.11,31.73,75.58,104.15,20.52,2.58,39.97,50.7,4.38,15.29,1.6,158.0,Unhealthy,11.9,80.8,0.636,1.79,83.38,7.9
Northwestern,Saint Petersburg,2021-01-01,46.34,86.35,30.24,38.61,53.46,6.82,2.72,32.97,47.72,3.03,7.34,4.82,128.0,Unhealthy for Sensitive Groups,11.1,84.8,0.44,1.98,80.05,7.9
Northwestern,Saint Petersburg,2021-02-01,39.39,82.37,38.69,49.27,61.56,12.88,1.44,39.1,84.17,,7.16,2.58,111.0,Unhealthy for Sensitive Groups,8.3,79.6,0.594,2.66,82.67,8.0
Northwestern,Saint Petersburg,2021-03-01,,49.87,27.55,55.82,54.71,9.68,2.5,31.45,26.12,4.88,4.65,1.09,,,15.9,71.9,0.54,1.97,82.57,8.0
Northwestern,Saint Petersburg,2021-04-01,24.77,73.51,33.37,23.86,46.44,11.06,2.23,14.23,43.66,3.23,10.8,1.08,78.0,Moderate,14.3,58.8,0.374,1.13,81.54,8.0
Northwestern,Saint Petersburg,2021-05-01,29.3,28.88,21.81,39.17,28.92,3.14,1.59,10.21,27.07,1.51,5.96,2.88,87.0,Moderate,7.6,49.5,0.539,0.36,83.56,8.0
Northwestern,Saint Petersburg,2021-06-01,25.68,59.77,29.58,29.02,44.8,7.38,1.58,18.44,36.43,2.24,8.66,1.45,80.0,Moderate,3.5,63.2,0.47,2.55,83.49,7.9
Northwestern,Saint Petersburg,2021-07-01,11.69,25.78,16.31,38.66,50.17,3.23,1.83,8.59,22.88,0.89,11.01,1.97,49.0,Good,8.8,72.8,0.479,1.19,83.83,8.0
Northwestern,Saint Petersburg,2021-08-01,13.56,61.39,28.75,21.46,49.17,7.78,1.13,15.77,41.5,2.04,6.28,,54.0,Moderate,6.9,79.2,0.664,0.39,84.53,7.9
Northwestern,Saint Petersburg,2021-09-01,21.3,33.7,35.42,31.14,60.04,12.02,0.69,19.02,46.87,2.79,4.02,3.08,70.0,Moderate,12.0,72.6,0.657,-0.34,81.82,8.0
Northwestern,Saint Petersburg,2021-10-01,,80.07,15.08,38.0,42.4,11.11,0.92,14.95,46.04,1.71,16.62,1.86,,,11.0,90.3,0.568,1.13,82.97,7.9
